task_id,splitter,max_depth,dataset,mean_accuracy, std_accuracy,n_fold
146821,random,10,car,0.9600853609356095,0.01600391746480654,0.976878612716763|0.9595375722543352|0.9421965317919075|0.9826589595375722|0.9653179190751445|0.9364161849710982|0.9479768786127167|0.9421965317919075|0.9709302325581395|0.9767441860465116
146821,random,15,car,0.9774398440650625,0.011685942959954189,0.9710982658959537|0.976878612716763|0.953757225433526|0.9942196531791907|0.9826589595375722|0.9653179190751445|0.976878612716763|0.9826589595375722|0.9767441860465116|0.9941860465116279
146821,second_best,1,car,0.7002352466729399,0.001626562710041668,0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.7034883720930233|0.7034883720930233
146821,second_best,5,car,0.814202177712058,0.026348074025530018,0.838150289017341|0.838150289017341|0.7861271676300579|0.8439306358381503|0.8034682080924855|0.838150289017341|0.815028901734104|0.8092485549132948|0.7558139534883721|0.813953488372093
146821,second_best,10,car,0.9328639602097055,0.022172914461335787,0.9364161849710982|0.9421965317919075|0.9132947976878613|0.9653179190751445|0.953757225433526|0.8959537572254336|0.9421965317919075|0.9248554913294798|0.9534883720930233|0.9011627906976745
146821,second_best,15,car,0.9560223148272617,0.011889117566812619,0.9479768786127167|0.953757225433526|0.9421965317919075|0.976878612716763|0.953757225433526|0.9479768786127167|0.976878612716763|0.9421965317919075|0.9593023255813954|0.9593023255813954
146821,worst,1,car,0.7002352466729399,0.001626562710041668,0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.7034883720930233|0.7034883720930233
146821,worst,5,car,0.7013913160371018,0.002472098790652407,0.6994219653179191|0.7052023121387283|0.7052023121387283|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.7034883720930233|0.7034883720930233
146821,worst,10,car,0.7361204462965453,0.015192243386049497,0.7225433526011561|0.7398843930635838|0.7456647398843931|0.7572254335260116|0.7225433526011561|0.7341040462427746|0.7109826589595376|0.7398843930635838|0.7616279069767442|0.7267441860465116
146821,worst,15,car,0.7245597526549268,0.017247425062409748,0.7225433526011561|0.7109826589595376|0.7052023121387283|0.7283236994219653|0.7167630057803468|0.7341040462427746|0.6994219653179191|0.7398843930635838|0.7616279069767442|0.7267441860465116
14952,best,1,PhishingWebsites,0.8889201639760091,0.0055946813178315916,0.8905967450271248|0.8869801084990958|0.8833634719710669|0.8924050632911392|0.8788426763110307|0.8841628959276018|0.8877828054298642|0.8914027149321267|0.8950226244343892|0.8986425339366516
14952,best,5,PhishingWebsites,0.9267299714432999,0.007135057332268884,0.9159132007233273|0.9294755877034359|0.9258589511754068|0.933996383363472|0.9285714285714286|0.9248868778280543|0.9176470588235294|0.9393665158371041|0.9194570135746606|0.9321266968325792
14952,best,10,PhishingWebsites,0.9488001276459951,0.007864514914844386,0.9385171790235082|0.9593128390596745|0.9602169981916817|0.953887884267631|0.9466546112115732|0.9502262443438914|0.9384615384615385|0.9538461538461539|0.9384615384615385|0.9484162895927601
14952,best,15,PhishingWebsites,0.9627316242952878,0.006695889959131401,0.953887884267631|0.9638336347197106|0.9629294755877035|0.9647377938517179|0.9701627486437613|0.9610859728506788|0.9565610859728507|0.9764705882352941|0.9538461538461539|0.9638009049773756
14952,random,1,PhishingWebsites,0.8889201639760091,0.0055946813178315916,0.8905967450271248|0.8869801084990958|0.8833634719710669|0.8924050632911392|0.8788426763110307|0.8841628959276018|0.8877828054298642|0.8914027149321267|0.8950226244343892|0.8986425339366516
14952,random,5,PhishingWebsites,0.9265490577925426,0.007302709782949671,0.9150090415913201|0.9294755877034359|0.9258589511754068|0.933996383363472|0.9285714285714286|0.9239819004524887|0.9176470588235294|0.9393665158371041|0.9194570135746606|0.9321266968325792
14952,random,10,PhishingWebsites,0.9488906253835516,0.007802054190992332,0.9385171790235082|0.9593128390596745|0.9602169981916817|0.953887884267631|0.9466546112115732|0.9493212669683257|0.9393665158371041|0.9547511312217195|0.9384615384615385|0.9484162895927601
